1	3.354385
2	3.077283
3	2.855141
4	2.693709
5	2.621861
6	2.545684
7	2.503315
8	2.462247
9	2.428459
10	2.393265
11	2.369404
12	2.350759
13	2.330021
14	2.305088
15	2.285033
16	2.267463
17	2.257663
18	2.248952
19	2.235912
20	2.231093
21	2.220891
22	2.217736
23	2.200110
24	2.192135
25	2.181380
26	2.186507
27	2.165976
28	2.175482
29	2.164415
30	2.159991
31	2.162954
32	2.153101
33	2.143885
34	2.153150
35	2.128012
36	2.136164
37	2.128268
38	2.128410
39	2.124931
40	2.104939
41	2.112588
42	2.107900
43	2.114087
44	2.102568
45	2.101670
46	2.100446
47	2.099943
48	2.112007
49	2.090643
50	2.093901
51	2.088049
52	2.087756
53	2.082471
54	2.081389
55	2.083673
56	2.079535
57	2.076616
58	2.073854
59	2.058991
60	2.063630
61	2.066402
62	2.063506
63	2.060981
64	2.056673
65	2.058844
66	2.055344
67	2.053383
68	2.051688
69	2.044149
70	2.059105
71	2.055454
72	2.047600
73	2.040934
74	2.035147
75	2.040129
76	2.026638
77	2.036822
78	2.031595
79	2.034148
80	2.050641
81	2.033806
82	2.031433
83	2.034459
84	2.026394
85	2.035954
86	2.022189
87	2.019628
88	2.028544
89	2.005253
90	2.014831
91	2.029131
92	2.008574
93	2.005336
94	2.020321
95	2.001603
96	2.001879
97	2.007629
98	2.008941
99	1.996168
100	2.002971
