1	3.038469
2	2.598738
3	2.435436
4	2.308518
5	2.207864
6	2.126151
7	2.048158
8	1.985264
9	1.937922
10	1.870005
11	1.833744
12	1.785232
13	1.726929
14	1.686537
15	1.627126
16	1.599425
17	1.561768
18	1.518254
19	1.490030
20	1.455220
21	1.418642
22	1.388104
23	1.356919
24	1.337746
25	1.313075
26	1.286441
27	1.257739
28	1.235783
29	1.223907
30	1.199060
31	1.169305
32	1.143218
33	1.128419
34	1.122649
35	1.101735
36	1.083654
37	1.080143
38	1.053736
39	1.040935
40	1.017099
41	1.022321
42	1.004160
43	0.981610
44	0.967385
45	0.967999
46	0.961617
47	0.945891
48	0.935326
49	0.939130
50	0.922609
51	0.909695
52	0.901058
53	0.899522
54	0.888733
55	0.892551
56	0.884766
57	0.873753
58	0.864866
59	0.848020
60	0.836008
61	0.840804
62	0.836501
63	0.822657
64	0.811940
65	0.813395
66	0.804185
67	0.809916
68	0.794158
69	0.777606
70	0.801041
71	0.776952
72	0.779250
73	0.763507
74	0.762274
75	0.764817
76	0.755648
77	0.761206
78	0.742395
79	0.753184
80	0.737718
81	0.743146
82	0.741651
83	0.724474
84	0.744130
85	0.712829
86	0.710993
87	0.725223
88	0.716098
89	0.706101
90	0.701888
91	0.708546
92	0.697381
93	0.690916
94	0.691104
95	0.692382
96	0.683061
97	0.677979
98	0.676717
99	0.660885
100	0.677173
