1	3.084115
2	2.626167
3	2.347033
4	2.091223
5	1.862267
6	1.640416
7	1.441540
8	1.249575
9	1.107217
10	0.971893
11	0.852121
12	0.749650
13	0.669183
14	0.596973
15	0.523623
16	0.471598
17	0.428498
18	0.380354
19	0.344885
20	0.319692
21	0.277037
22	0.264514
23	0.241188
24	0.218395
25	0.202228
26	0.182258
27	0.174041
28	0.167296
29	0.146252
30	0.140150
31	0.136617
32	0.123354
33	0.112828
34	0.106608
35	0.106504
36	0.094548
37	0.088678
38	0.086371
39	0.081050
40	0.078791
41	0.075115
42	0.071576
43	0.071400
44	0.067828
45	0.065770
46	0.061598
47	0.054367
48	0.054371
49	0.053445
50	0.048326
51	0.047503
52	0.046936
53	0.042652
54	0.043386
55	0.039423
56	0.040101
57	0.035640
58	0.036248
59	0.035489
60	0.033201
61	0.030392
62	0.031207
63	0.030693
64	0.030983
65	0.030184
66	0.025501
67	0.026925
68	0.026998
69	0.024282
70	0.025074
71	0.025728
72	0.026007
73	0.023707
74	0.022527
75	0.023283
76	0.021386
77	0.019887
78	0.019625
79	0.018198
80	0.019027
81	0.018381
82	0.018344
83	0.018789
84	0.015742
85	0.015976
86	0.014396
87	0.016141
88	0.013651
89	0.015359
90	0.013181
91	0.014656
92	0.014167
93	0.014153
94	0.013024
95	0.014855
96	0.013925
97	0.014154
98	0.012528
99	0.011563
100	0.012411
